iter	Logloss
0	0.5934873037
5	0.3576169853
10	0.2964985093
15	0.2794306148
20	0.2725830918
25	0.2691256826
30	0.2672451306
35	0.2659873492
40	0.265181197
45	0.2644968351
50	0.2638341864
55	0.2633437656
60	0.2630079
65	0.2626444643
70	0.2622811475
75	0.2619032817
80	0.2616840795
85	0.2614486816
90	0.26120432
95	0.2609654928
100	0.2607324546
105	0.2605211635
110	0.2603092612
115	0.2601323817
120	0.2599482532
125	0.2597953956
130	0.2595979235
135	0.2594725341
140	0.2593401334
145	0.2591568877
150	0.2589919088
155	0.2588504935
160	0.2587080935
165	0.2585592085
170	0.2584387084
175	0.2583222997
180	0.2581493418
185	0.2580171108
190	0.2579329067
195	0.2578038674
200	0.2577077797
205	0.2575837994
210	0.2574992557
215	0.2573955965
220	0.257289136
225	0.2571789917
230	0.2570715805
235	0.2569730652
240	0.2568832588
245	0.2567955745
250	0.2566780283
255	0.2566044177
260	0.256446552
265	0.2563797999
270	0.2562963768
275	0.2561958072
280	0.2561136573
285	0.256018028
290	0.2559509533
295	0.2558832675
300	0.2558243077
305	0.2557757036
310	0.2557006838
315	0.2556398396
320	0.2555483526
325	0.2554589536
330	0.2553981773
335	0.255332274
340	0.2552490886
345	0.255196444
350	0.2551260589
355	0.2550632624
360	0.2550018409
365	0.2549528464
370	0.2548977572
375	0.2548590845
380	0.2548084262
385	0.2547452732
390	0.2546912875
395	0.2546279137
400	0.2545850138
405	0.2545183126
410	0.2544728322
415	0.2544225814
420	0.2543677978
425	0.2543276142
430	0.2542827449
435	0.2542230211
440	0.254182464
445	0.2541343352
450	0.2540805703
455	0.2540294706
460	0.2539903395
465	0.2539477281
470	0.2538952534
475	0.2538561732
480	0.2538033419
485	0.2537678268
490	0.2537233141
495	0.2536889194
500	0.2536487867
505	0.2536092651
510	0.2535771453
515	0.2535368598
520	0.2534866939
525	0.2534447107
530	0.253405206
535	0.2533629512
540	0.2533332251
545	0.2533001547
550	0.2532580017
555	0.2532266459
560	0.2531975479
565	0.2531534426
570	0.253116858
575	0.2530849589
580	0.2530567098
585	0.2530247089
590	0.2529997532
595	0.2529650021
600	0.2529296228
605	0.2528905086
610	0.2528562158
615	0.2528211591
620	0.2527832333
625	0.2527555444
630	0.2527149363
635	0.2526780971
640	0.2526465205
645	0.2526108017
650	0.2525785801
655	0.252551723
660	0.2525218951
665	0.2524860065
670	0.2524505763
675	0.2524183546
680	0.2523827207
685	0.2523529437
690	0.2523261885
695	0.2523036266
700	0.2522796216
705	0.252251746
710	0.2522299141
715	0.2522049414
720	0.2521750626
725	0.2521438765
730	0.2521163914
735	0.2520924713
740	0.2520600289
745	0.2520300482
750	0.2519996261
755	0.2519678459
760	0.2519361844
765	0.2519021972
770	0.2518781074
775	0.2518576675
780	0.2518315914
785	0.2518031556
790	0.2517790148
795	0.2517537366
800	0.2517246047
805	0.2517029256
810	0.2516756441
815	0.251651011
820	0.2516306221
825	0.2516090448
830	0.2515818483
835	0.2515585054
840	0.2515310372
845	0.2515063023
850	0.2514860322
855	0.2514642512
860	0.2514344232
865	0.2514108427
870	0.2513814561
875	0.2513548028
880	0.2513308828
885	0.2513046709
890	0.2512767103
895	0.2512555065
900	0.2512303132
905	0.2512031336
910	0.2511741206
915	0.2511503024
920	0.2511261786
925	0.2511005609
930	0.2510696125
935	0.2510470845
940	0.2510259655
945	0.2510029283
950	0.250978448
955	0.2509526265
960	0.2509278067
965	0.2509068745
970	0.2508857046
975	0.2508640255
980	0.2508415484
985	0.2508184093
990	0.2507909411
995	0.2507674285
1000	0.2507419126
1005	0.2507201995
1010	0.2506952608
1015	0.250672614
1020	0.25065085
1025	0.250627609
1030	0.2506070503
1035	0.2505821965
1040	0.2505601948
1045	0.2505389231
1050	0.2505211825
1055	0.2505000466
1060	0.2504802349
1065	0.2504531402
1070	0.2504287957
1075	0.2504075409
1080	0.2503867446
1085	0.2503664914
1090	0.2503420451
1095	0.2503205018
1100	0.2503028461
1105	0.2502793844
1110	0.2502613212
1115	0.2502398967
1120	0.2502175555
1125	0.2501966912
1130	0.250173586
1135	0.2501483078
1140	0.2501262722
1145	0.2501063925
1150	0.2500889745
1155	0.2500685007
1160	0.2500490625
1165	0.2500315256
1170	0.2500089976
1175	0.249991274
1180	0.2499722432
1185	0.2499515657
1190	0.2499284265
1195	0.2499022486
1200	0.2498827934
1205	0.2498637795
1210	0.2498454957
1215	0.249827874
1220	0.2498068399
1225	0.2497866887
1230	0.2497652642
1235	0.2497427362
1240	0.2497221775
1245	0.2497018395
1250	0.2496831822
1255	0.24966006
1260	0.2496400276
1265	0.249617941
1270	0.2495987574
1275	0.2495810338
1280	0.2495600677
1285	0.2495399504
1290	0.2495224135
1295	0.2495008532
1300	0.2494785289
1305	0.2494606186
1310	0.2494430478
1315	0.2494231172
1320	0.2494030508
1325	0.2493820338
1330	0.2493603037
1335	0.2493407126
1340	0.249321563
1345	0.2493011062
1350	0.2492834844
1355	0.2492618562
1360	0.2492413824
1365	0.2492202804
1370	0.2492057994
1375	0.2491874137
1380	0.2491684848
1385	0.2491440384
1390	0.2491248378
1395	0.2491057731
1400	0.2490807156
1405	0.2490585611
1410	0.2490378666
1415	0.2490229271
1420	0.2490048301
1425	0.248988906
1430	0.2489703845
1435	0.2489552583
1440	0.2489362954
1445	0.2489144295
1450	0.2488932936
1455	0.2488716993
1460	0.2488533646
1465	0.2488342489
1470	0.2488164065
1475	0.2487973417
1480	0.24877607
1485	0.2487582615
1490	0.2487402323
1495	0.2487212694
1497	0.2487146655
