iter	Passed	Remaining
340	1549402	1940160
341	1553392	1934927
342	1557387	1929707
343	1562227	1925536
344	1566235	1920340
345	1570839	1915879
346	1575462	1911439
347	1579948	1906834
348	1584435	1902230
349	1588910	1897613
350	1593301	1892896
351	1597661	1888145
352	1602331	1883761
353	1606422	1878697
354	1610952	1874150
355	1615564	1869698
356	1619998	1865040
357	1624052	1859948
358	1628537	1855353
359	1633195	1850955
360	1637778	1846470
361	1642281	1841895
362	1646969	1837527
363	1651064	1832500
364	1655487	1827839
365	1659750	1823005
366	1664168	1818341
367	1668812	1813926
368	1672776	1808774
369	1677100	1804015
370	1681718	1799574
371	1686276	1795068
372	1690720	1790441
373	1695528	1786198
374	1699938	1781535
375	1704163	1776681
376	1708261	1771698
377	1712873	1767250
378	1717465	1762781
379	1721473	1757715
380	1725548	1752722
381	1729966	1748081
382	1734569	1743627
383	1738981	1738981
384	1743380	1734323
385	1747443	1729335
386	1751860	1724700
387	1756572	1720354
388	1760962	1715693
389	1765383	1711063
390	1770290	1706904
391	1775049	1702598
392	1779658	1698147
393	1784051	1693490
394	1788691	1689067
395	1792682	1684034
396	1797277	1679572
397	1802113	1675331
398	1807194	1671315
399	1811441	1666526
400	1815548	1661611
401	1820272	1657262
402	1824778	1652714
403	1829383	1648256
404	1833825	1643651
405	1838621	1639362
406	1842644	1634384
407	1847321	1629989
408	1851777	1625399
409	1856235	1620810
410	1860763	1616283
411	1865399	1611850
412	1870305	1607647
413	1874706	1603009
414	1879411	1598631
415	1883528	1593754
416	1887935	1589125
417	1892666	1584768
418	1897429	1580436
419	1901655	1575657
420	1906108	1571068
421	1910580	1566495
422	1915247	1562081
423	1919955	1557700
424	1924723	1553364
425	1929380	1548939
426	1933918	1544417
427	1937948	1539491
428	1942508	1534989
429	1947163	1530560
430	1951647	1525998
431	1956156	1521454
432	1960744	1516973
433	1965519	1512634
434	1970124	1508164
435	1974815	1503758
436	1979348	1499232
437	1984136	1494897
438	1988643	1490349
439	1992901	1485617
440	1997601	1481214
441	2001908	1476520
442	2006462	1472009
443	2011187	1467623
444	2015196	1462715
445	2019805	1458245
446	2023890	1453398
447	2028489	1448920
448	2033100	1444452
449	2037627	1439923
450	2042152	1435393
451	2046686	1430869
452	2051329	1426420
453	2055876	1421905
454	2060507	1417447
455	2064559	1412593
456	2068985	1407996
457	2073430	1403413
458	2077926	1398865
459	2082296	1394233
460	2086843	1389719
461	2091568	1385324
462	2096096	1380797
463	2100857	1376423
464	2105262	1371816
465	2110091	1367484
466	2114845	1363101
467	2118789	1358198
468	2123335	1353682
469	2127954	1349213
470	2131919	1344331
471	2136464	1339816
472	2140979	1335283
473	2145105	1330508
474	2149528	1325919
475	2154315	1321555
476	2158632	1316901
477	2162597	1312036
478	2167192	1307554
479	2171311	1302787
480	2175881	1298291
481	2180362	1293741
482	2184883	1289217
483	2189389	1284683
484	2193520	1279930
485	2198160	1275475
486	2202151	1270645
487	2206601	1266082
488	2211145	1261573
489	2215637	1257034
490	2220173	1252521
491	2224222	1247734
492	2228810	1243251
493	2233287	1238706
494	2237718	1234135
495	2242232	1229611
496	2247045	1225250
497	2251306	1220587
498	2255750	1216025
499	2259821	1211264
500	2264294	1206719
501	2268509	1202039
